Store,Location,Span,Rate,Time,Review,Application Name
Still Meadows Boutique,United States,9 months using the app,5,"October 21, 2024","Here is why this plugin is perfect for any business owner in our situation. My wife is an artist and her Google business services a large area, so the business location is not tied to a specific address, but rather a large geographical area on Google maps. I spent many days trying to find a plug-in that would not only allow for Google reviews for a service-area business that didn’t have a specific street address, but one that would also auto update those reviews on the website instead of needing to manually update every time a new review came in. Many of the other options that I could find were subscription based Plug-ins that were a minimum of five dollars a month. When I first found this plug-in, I was delighted to find that it was a $10 one time purchase. When I first discovered it, the auto update function had not yet been developed,  but the author was more than happy to update the reviews manually every time I reached out to him. Since then, the auto update functionality has been added, and now we literally can just sit back and do nothing and find that the reviews update by themselves every six hours. The developer deserves a lot more than a one time $10 charge not only for the quality of the plugin, but for his willingness to answer any questions and troubleshoot any issues you might have! Every small business should use this plug-in, ESPECIALLY service area businesses. Can’t recommend this plugin enough!",Google Customer Reviews 1
My Store,United States,10 months using the app,5,"September 5, 2024","Highly recommended, makes requesting reviews from my clients a breeze. The one thing I would suggest to improve this product is for the total number of reviews on the Google platform to be updated in real time with the total number of reviews listed on the review count on the carousel that is listed on the web page. Hasn't been an issue yet though, the staff have responded to my requests for updates regularly and quickly since implementing the tool!",Google Customer Reviews 1
Amsterdam Teas,Netherlands,1 day using the app,5,"September 27, 2024","Outstanding app, on all fronts! Good looking, customizable, cost-effective. My webshop is highly customized and with support's help I was able to customize this app to fit very well. The one-time payment is perfect, a welcome savings over monthly subscriptions that offer no added value. For support, Chandra is fast and extremely helpful. To import and solicit reviews, there's no better choice than this app.",Google Customer Reviews 1
The Kennedy Collective Thrift,United States,About 18 hours using the app,5,"October 30, 2024","Quick and easy to install, not to mention the one-time cost for the installation. Support from the developer was just as fast and fixed the issue I had. I would recommend this app for first time and experienced stores on Shopify.",Google Customer Reviews 1
NutriGano.com,United States,About 22 hours using the app,5,"September 20, 2024","Best Customer Support. Makes sure you are right on track and understand every detail and step of the way.  Answers in world class prompt timing. Last but not least, Best cost effective application.  One payment only and yours to keep and enjoy lifetime. Wonderful experience.  Highly recommended.",Google Customer Reviews 1
NetDécor,South Africa,2 days using the app,5,"September 5, 2024","Chandra Mohan has provided the most amazing support to us! We love this app!
thanks and regards
Miranda
NetDecor",Google Customer Reviews 1
UK Bargains Galore,United Kingdom,2 days using the app,5,"August 16, 2024","Brilliant app with a fantastic one off price, needed a bit of support and Chandra was amazing, I highly recommend!",Google Customer Reviews 1
Afrihair,New Zealand,5 days using the app,5,"August 1, 2024","Looks great, easy to use, developer responded to a question within minutes and with a one off fee this is super cost-effective very happy customer :)",Google Customer Reviews 1
A Thousand Elsewhere,Canada,1 day using the app,5,"August 28, 2024","Easy to use, quick customer service, one time payment convenience.",Google Customer Reviews 1
Becausse,France,13 minutes using the app,1,"November 21, 2024","This app doesn't work at all, and you'll loose 10€ (exactly like me).
Please, Shopify, beware before to valid such an app on your store....",Google Customer Reviews 1
Livefitforme,United States,6 days using the app,5,"Edited July 27, 2024",EDIT: After contacting support and speaking with developer they were able to accommodate my older theme to make sure my widget was operable on my website. Thank you!,Google Customer Reviews 1
