Store,Location,Span,Rate,Time,Review,Application Name
Vinyl Kitchen,New Zealand,8 months using the app,5,"November 9, 2024","Easy to use, great price. Highly recommended app!",Social Testimonial Slider
Think Fitness Life,United States,5 months using the app,5,"November 23, 2024",Love it! Super easy to use!,Social Testimonial Slider
Lusio Rehab,Australia,Almost 6 years using the app,5,"November 23, 2024",Great app,Social Testimonial Slider
Dog Meats Bone,United Kingdom,Almost 3 years using the app,5,"March 22, 2024","What's to dislike with this app? After a small amount of set up, it does exactly what you need.  The team are great to answer any time you need an extra hand. I have a love-hate relationships with many apps on Shopify but this one is just great.  No notes.",Social Testimonial Slider
posy-london,United Kingdom,About 3 years using the app,5,"May 21, 2024",It has worked well and is easy to use.,Social Testimonial Slider
Corgi Model Club,United Kingdom,Over 2 years using the app,4,"Edited March 18, 2024","This has been great for a long time, but now the admin section won't load properly, and there are loads of fake spam reviews sneaking onto our homepage (not from Facebook) that we can't remove. So, there might be security issues here too.
Waiting to hear from the developer on this, but it looks like it's no longer being maintained.
---
UPDATE - developer was away which explains the silence and the issue. Thanks for getting in touch, and for fixing so quickly. Was still a bit alarming to have these junk reviews on the home page for a number of days, without the ability to remove them. We were very close to just deleting the app, and finding an alternative. Glad to hear its still being maintained.",Social Testimonial Slider
Arnone Boutique,United States,Over 1 year using the app,1,"March 15, 2024",I can't get ahold of anyone from this app.  I've sent several messages to them no answer.  I have not been able to access my app & get into my reviews for my site.   Every time it states I have no access??   Can someone respond back to me!,Social Testimonial Slider
Planet Retro,New Zealand,3 months using the app,5,"December 22, 2023",Great easy to use App.  No issues installing and connecting to Shopify and quick and easy to update my online reviews using TestimonialHub.  Looks nice on my site too and you have a choice of layouts.  Can highly recommend. A+,Social Testimonial Slider
Battery Roadie,United States,5 months using the app,5,"December 20, 2023","Works great to display both Google and Yelp local reviews.  Easy to set up, wish it pushed them all through automatically but for the price I can't complain!",Social Testimonial Slider
OCDandApparel,United States,4 months using the app,4,"December 20, 2023","I like this app so far, however I would really like to be able to just use the customers first name and last initial instead of their full name",Social Testimonial Slider
MANA Kitchens,United States,4 days using the app,5,"December 17, 2023","Excellent app, provides enough options, I will continue to use it",Social Testimonial Slider
Microelettronica snc,Italy,6 months using the app,5,"April 15, 2024",Credo sia l'unica app gratuita nel suo genere a funzionare correttamente.,Social Testimonial Slider
detach™,Brazil,Almost 6 years using the app,5,"April 22, 2019","I am using this app to connect to multiple testimonial sources as well as manual additions. Not only does the app work as expected the support has been stellar. I've used the templates within other complex display code and the team helped guide me through it. By far the price and core functionality blows away other much, much higher priced options that require interacting with sales teams and demos JUST to get up and started.",Social Testimonial Slider
Tibet Shop Sydney,Australia,About 5 years using the app,5,"July 6, 2020",Fantastic app. Easy to use and works well. Great value and free subscription option available too.,Social Testimonial Slider
Age Advantage Skincare,United States,Over 4 years using the app,5,"May 31, 2020",The app works great! Most importantly the support is unparalleled. Josh spent a good deal of time helping me to get all up and running.,Social Testimonial Slider
Trugrade Medical Supplies,Australia,Over 4 years using the app,5,"May 24, 2023","Simple to execute, does what it promises. It took 15 minutes to set up. Very happy with the product",Social Testimonial Slider
Save IVF,United States,Over 4 years using the app,5,"April 23, 2020",This app is great! Very clean look so it didn't take away from our brand look. ?Highly recommend. Also the set up was simple and customer service was also quick to respond to any questions we had.,Social Testimonial Slider
Julian's Juicebox LLC,United States,Almost 4 years using the app,5,"Edited September 10, 2020",I absolutely love this app and how it looks on my homepage. It adds the value of social proof instantly which is Gold these days. Game changer that you need for your site!,Social Testimonial Slider
CAPITÁN BARBAS® | Tienda,Colombia,Almost 4 years using the app,5,"April 29, 2020",This is the best app for shopify reviews and the best thing is that it is free. Thank you very much to its creators.,Social Testimonial Slider
Tim’s Kitchen,France,Almost 4 years using the app,5,"January 29, 2021","Great App, the reviews look great on my site. I look forward to being able to display my google reviews. I would recommend it to anyone.",Social Testimonial Slider
Ceylon Groceries,Canada,Over 3 years using the app,5,"Edited May 14, 2020","Great application. Simple, Easy and Gets things done. Thank you. Best of all it's free. Keep up the good work",Social Testimonial Slider
Jessichu Creations,United States,Over 3 years using the app,5,"October 27, 2020",Fantastic app!! It does exactly what it's supposed to do and it's super easy to set up. HIGHLY RECOMMEND,Social Testimonial Slider
Waisa Mama Organic Beverage Co.,Canada,Over 3 years using the app,5,"November 16, 2020","This app is great. It does what it says it does simply and effectively. It is also reasonably priced, unlike some of the other ones on the app store.",Social Testimonial Slider
Tashmed,Canada,Over 3 years using the app,5,"August 11, 2020","Good app, installment takes time but easy with the instruction provided even for the very basic level user
I wish the number of reviews could grow with the price gradually, like free app for the first 5 and then a certain amount for the next ones",Social Testimonial Slider
PAYLESS FURNITURE,Canada,Over 3 years using the app,5,"Edited July 24, 2020","Amazing app, very easy to use ... we depend on it to show our google and FB reviews on our home page Thnaks guys.. keep the hard work",Social Testimonial Slider
Carreon's Photo-Video Store,Philippines,Over 3 years using the app,5,"September 2, 2020",awesome app! been using it for a year and it's a lot of value to my website. Very easy to use and has a lot of solid features.,Social Testimonial Slider
